epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.35256,2.6596889233398437,0.001,0.68566,0.85162,0.4552,2.122077982711792,0.8008,0.9256
1,0.52422,1.8644805628967285,0.001,0.83032,0.93516,0.5889,1.6275306819915771,0.8614,0.9503
2,0.6147,1.5155266538619996,0.001,0.87826,0.95802,0.5739,1.6281794384002686,0.8568,0.9482
3,0.66796,1.3106886949539185,0.001,0.90634,0.97002,0.6418,1.452211192893982,0.8741,0.9635
4,0.71234,1.1691565389633178,0.001,0.9228,0.97754,0.7041,1.1979914178848268,0.9194,0.9753
5,0.73708,1.0758632526779175,0.001,0.93392,0.98084,0.6708,1.2473871987342835,0.9167,0.9769
6,0.76062,0.9985993822097778,0.001,0.94262,0.98328,0.7076,1.2353993944168091,0.9029,0.9637
7,0.77376,0.9497852494049073,0.001,0.94836,0.98612,0.7362,1.078210172367096,0.9355,0.9785
8,0.78652,0.9020915192985535,0.001,0.95288,0.98788,0.6884,1.2688301193237306,0.93,0.9809
9,0.79724,0.8709634552001954,0.001,0.95508,0.98766,0.7702,0.9620308664321899,0.9386,0.9825
10,0.80766,0.8332893014907837,0.001,0.96008,0.98974,0.737,1.0880691160678864,0.9275,0.9721
11,0.81658,0.8034739580726623,0.001,0.96146,0.98998,0.7297,1.1546374897956848,0.9358,0.9827
12,0.82266,0.783812380657196,0.001,0.96286,0.99058,0.7728,0.9304394929409027,0.9432,0.9833
13,0.82832,0.761074418258667,0.001,0.9665,0.99082,0.7925,0.8948012348651886,0.9473,0.984
14,0.83472,0.7440348754119873,0.001,0.96812,0.992,0.8418,0.7283876877307892,0.9701,0.9931
15,0.84052,0.72401908826828,0.001,0.97004,0.99254,0.7264,1.253142677974701,0.9387,0.9851
16,0.8468,0.7049345723724365,0.001,0.97238,0.99314,0.782,0.9056213214874268,0.9487,0.9869
17,0.8512,0.6917972632217407,0.001,0.97216,0.99348,0.7809,0.9211870781421662,0.9499,0.9841
18,0.85288,0.6822904757976532,0.001,0.97312,0.9936,0.8211,0.7989834015369415,0.9637,0.9883
19,0.85624,0.6727927619552613,0.0003162278,0.97448,0.99358,0.7945,0.9003290322780609,0.9537,0.9859
20,0.85974,0.6588548648452759,0.001,0.97704,0.99462,0.8172,0.8086218564510346,0.9658,0.9906
21,0.86428,0.6489248531723022,0.001,0.97574,0.99466,0.6767,1.483462921333313,0.8828,0.9548
22,0.86514,0.6392679424476624,0.001,0.97772,0.99506,0.8276,0.7661946874141693,0.9643,0.9929
23,0.86868,0.6338293409156799,0.001,0.97882,0.99534,0.7765,1.0017287468910216,0.9477,0.9882
24,0.87288,0.6206931174468994,0.0003162278,0.97866,0.99516,0.8067,0.8707630136489868,0.9495,0.9836
25,0.87276,0.6179633190155029,0.001,0.97938,0.99546,0.768,0.9691260691165924,0.9407,0.9781
26,0.87672,0.6049215607166291,0.001,0.98164,0.99634,0.8021,0.8307120717048645,0.9575,0.9907
27,0.87836,0.6031939393806458,0.001,0.9813,0.9956,0.717,1.2796877100467683,0.9135,0.9835
28,0.8791,0.6021914755058289,0.001,0.98028,0.99558,0.8183,0.8212243188858033,0.9566,0.9871
29,0.883,0.5916043166923523,0.0003162278,0.98198,0.99584,0.8069,0.883643194103241,0.9584,0.9892
30,0.88406,0.5863850563430786,0.001,0.98236,0.99628,0.7457,1.1423224961280822,0.9147,0.965
31,0.88636,0.585289199962616,0.001,0.98216,0.99624,0.7964,0.9052251331806183,0.9614,0.9898
32,0.8867,0.5745317064094544,0.001,0.98328,0.99644,0.8126,0.8314772139072418,0.9655,0.9897
33,0.8892,0.5700834934043885,0.001,0.98274,0.99636,0.8294,0.7724460040092468,0.9625,0.9905
34,0.89088,0.5652948778152466,0.0003162278,0.98414,0.99658,0.8311,0.748023734331131,0.9664,0.9912
35,0.89104,0.5606853518295288,0.001,0.98378,0.99654,0.7603,1.046962225294113,0.9369,0.9793
36,0.8921,0.5590891675376892,0.001,0.98354,0.99674,0.8065,0.8679662992477417,0.9543,0.989
37,0.89258,0.5524398341751099,0.001,0.986,0.99728,0.8091,1.0143243312835692,0.958,0.9902
38,0.89716,0.547089481716156,0.001,0.98526,0.99708,0.7603,1.0703865174770355,0.9367,0.9808
39,0.89756,0.5487133475017547,0.0003162278,0.98532,0.99722,0.8176,0.8091588553905487,0.9635,0.9895
40,0.89492,0.5450632909011841,0.001,0.9865,0.99756,0.7597,1.015195518875122,0.9503,0.9867
41,0.89668,0.5436497641944885,0.001,0.98584,0.99686,0.8003,0.9217269684791565,0.9621,0.9926
42,0.89858,0.5380354054069519,0.001,0.98646,0.99722,0.7634,1.08094372382164,0.9348,0.9806
43,0.89996,0.5341364708995819,0.001,0.9861,0.99704,0.8268,0.7964916893005372,0.964,0.9895
44,0.89894,0.5353925163650513,0.0003162278,0.9867,0.99702,0.836,0.769956826877594,0.967,0.9912
45,0.90178,0.5299399836730957,0.001,0.98646,0.9973,0.844,0.7519781428337097,0.9667,0.9905
46,0.90186,0.5251977800369263,0.001,0.98704,0.99728,0.8098,0.8588899409770966,0.9509,0.9849
47,0.90416,0.5197132107162475,0.001,0.98702,0.99704,0.8234,0.8309841710090637,0.9657,0.9906
48,0.90294,0.5245511701202392,0.001,0.98696,0.99738,0.8147,0.822967227602005,0.9615,0.9906
49,0.90086,0.5254940009689331,0.001,0.98632,0.99728,0.8496,0.721592806816101,0.9715,0.9923
50,0.90678,0.515870369720459,0.001,0.9875,0.99762,0.8115,0.87908542137146,0.9518,0.9868
51,0.90672,0.5140997725200653,0.001,0.98762,0.99742,0.8622,0.6873079856872558,0.9718,0.9925
52,0.90528,0.5150775243759155,0.001,0.98674,0.99762,0.8342,0.7589541049480438,0.9673,0.9898
53,0.9063,0.5141146266269684,0.001,0.98768,0.9973,0.8617,0.6712428797483444,0.9718,0.993
