epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.14928,3.9613439893341065,0.001,0.30006,0.3921,0.1753,3.8358653240203857,0.3356,0.4326
1,0.24862,3.3055109033203127,0.001,0.4452,0.55084,0.2842,3.1214514682769776,0.4887,0.5916
2,0.31376,2.961545486984253,0.001,0.52904,0.63392,0.3354,2.836875632095337,0.56,0.6628
3,0.36842,2.703128734436035,0.001,0.59242,0.69456,0.3802,2.675699256515503,0.595,0.6927
4,0.4023,2.5333212767791746,0.001,0.63066,0.73084,0.4055,2.564596807861328,0.6267,0.7274
5,0.43818,2.381559048690796,0.001,0.66748,0.76338,0.4425,2.4156026027679443,0.6574,0.7482
6,0.46568,2.2659911306762694,0.001,0.6935,0.78328,0.4718,2.2809666120529175,0.6858,0.776
7,0.48756,2.1766251419067384,0.001,0.7174,0.8021,0.4742,2.2860564558029175,0.6899,0.7765
8,0.51428,2.087604941711426,0.001,0.73416,0.81954,0.5099,2.129559338283539,0.7238,0.8043
9,0.5303,2.021060495147705,0.001,0.74858,0.8292,0.4793,2.3200434856414796,0.6951,0.7826
10,0.54474,1.9631746772766114,0.001,0.76288,0.84302,0.5141,2.159460620689392,0.7199,0.8018
11,0.56176,1.9114851345825195,0.001,0.77548,0.85114,0.5411,1.9897863140106202,0.7538,0.832
12,0.57216,1.8649178148651122,0.001,0.78584,0.86032,0.5284,2.092144803237915,0.7458,0.8281
13,0.58376,1.8213915996551513,0.001,0.7959,0.8679,0.5356,2.0798837505340577,0.7525,0.8265
14,0.59452,1.782169100036621,0.001,0.80302,0.87276,0.5453,2.0233153632164003,0.7604,0.8354
15,0.60392,1.7452958853149414,0.001,0.81316,0.88076,0.5713,1.9312148900032045,0.7803,0.8509
16,0.6135,1.7211518648910522,0.001,0.81998,0.88368,0.5618,1.9347835027694702,0.7745,0.8503
17,0.62126,1.690373844871521,0.001,0.824,0.88896,0.5651,2.000992057514191,0.7622,0.8369
18,0.63226,1.6616870347213746,0.001,0.8331,0.89478,0.5811,1.8915325785636903,0.7878,0.8582
19,0.63518,1.6436443222045898,0.001,0.83512,0.8981,0.5796,1.8991093348503112,0.785,0.8575
20,0.64538,1.6176770351028442,0.001,0.84026,0.89976,0.5846,1.9124124596595764,0.7897,0.8577
21,0.65058,1.5994167751312256,0.001,0.84644,0.90456,0.5767,1.946183786201477,0.7867,0.858
22,0.65484,1.5793829788970948,0.001,0.84996,0.90848,0.5827,1.9589881948471068,0.781,0.8536
23,0.66282,1.562980032157898,0.0003162278,0.85514,0.91148,0.5828,1.9499790350914001,0.7889,0.8554
24,0.66872,1.5372107963943482,0.001,0.86016,0.91444,0.5903,1.945123798084259,0.7884,0.8587
25,0.6732,1.5223968515777588,0.001,0.86276,0.91702,0.6163,1.788572034740448,0.8158,0.8821
26,0.67782,1.5111497800064086,0.001,0.86682,0.91892,0.6,1.8877058143615724,0.7988,0.8656
27,0.68052,1.5024545893096923,0.001,0.86918,0.91978,0.6177,1.7994866597175598,0.814,0.8753
28,0.68656,1.4894085440444946,0.001,0.87074,0.92308,0.609,1.8567629197120668,0.8061,0.8705
29,0.68952,1.4779268603134155,0.001,0.87264,0.92488,0.6112,1.8581450706481935,0.8061,0.8714
30,0.69206,1.4640337979888915,0.0003162278,0.87754,0.92718,0.6205,1.8310386781692505,0.8128,0.8765
31,0.69504,1.4558601025009155,0.001,0.87706,0.92742,0.6026,1.8942150928497314,0.8061,0.8747
32,0.69936,1.4473270428085327,0.001,0.8792,0.92826,0.6124,1.8462581902503967,0.8086,0.8743
33,0.7027,1.434238849029541,0.001,0.88344,0.93208,0.607,1.896412024116516,0.8057,0.8704
34,0.7091,1.415518709449768,0.001,0.886,0.93528,0.6172,1.8225355166435242,0.8163,0.8789
35,0.71012,1.4105906004714965,0.0003162278,0.88642,0.93456,0.6148,1.8595227865219117,0.8118,0.8748
36,0.71408,1.4041413188171388,0.001,0.88848,0.93418,0.6147,1.8959501201629638,0.813,0.8756
37,0.71758,1.3924773762130738,0.001,0.89152,0.93818,0.6017,1.9535122243881227,0.7976,0.8644
38,0.71876,1.3836585333633422,0.001,0.8949,0.93964,0.6225,1.8587219208717347,0.8118,0.8774
39,0.72334,1.3690654105567932,0.001,0.89702,0.94172,0.6164,1.895943327331543,0.808,0.8698
