epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.08822,4.529944871139526,0.001,0.19696,0.27306,0.1465,4.070015713500976,0.3028,0.395
1,0.183,3.7234597841644286,0.001,0.3519,0.45442,0.209,3.5754170627593993,0.3821,0.4885
2,0.24126,3.3703912985992432,0.001,0.43704,0.54236,0.2419,3.474877959060669,0.4396,0.5454
3,0.28942,3.10898091545105,0.001,0.4998,0.60474,0.2855,3.1269810327529908,0.5006,0.6057
4,0.3309,2.908442927093506,0.001,0.5493,0.65192,0.3408,2.863288570022583,0.5594,0.663
5,0.36696,2.7409009958648682,0.001,0.58744,0.68868,0.3828,2.699834034538269,0.6039,0.6973
6,0.3997,2.6009167633056642,0.001,0.62294,0.72128,0.3991,2.631880062484741,0.6172,0.7101
7,0.42454,2.4787164841461182,0.001,0.65188,0.74744,0.4165,2.5843345180511474,0.6317,0.7242
8,0.45262,2.3771005492401125,0.001,0.67712,0.76926,0.4396,2.440316347503662,0.6644,0.7538
9,0.47582,2.2857109952926637,0.001,0.69746,0.78656,0.4602,2.3311110452651977,0.6855,0.7762
10,0.49098,2.2086238274383545,0.001,0.71596,0.80152,0.4537,2.431965509414673,0.6648,0.7613
11,0.5059,2.1480392874908447,0.001,0.73066,0.8151,0.4636,2.3568162141799927,0.6923,0.7778
12,0.52334,2.0850072428131106,0.001,0.7451,0.82574,0.5005,2.2544628180503845,0.7108,0.7941
13,0.53752,2.036707823600769,0.001,0.7579,0.83552,0.4886,2.294573829650879,0.7062,0.7938
14,0.5508,1.9914341026687623,0.001,0.76676,0.8429,0.5202,2.137380644226074,0.7356,0.82
15,0.56248,1.9402725798034668,0.001,0.77808,0.85428,0.528,2.126285805892944,0.7389,0.8203
16,0.57198,1.9104898267364503,0.001,0.7854,0.85864,0.5056,2.2355510330200197,0.7225,0.8022
17,0.5814,1.8782790505981446,0.001,0.79182,0.86382,0.5265,2.124541840171814,0.7422,0.8219
18,0.58874,1.8434263004684448,0.001,0.80154,0.87054,0.5167,2.249091201591492,0.7323,0.8151
19,0.59848,1.8186140858459472,0.001,0.80754,0.87486,0.5119,2.2441450506210328,0.7312,0.8136
20,0.6061,1.7916730197143556,0.001,0.81248,0.87924,0.4883,2.375522952270508,0.7108,0.7927
21,0.61014,1.772684581413269,0.001,0.81676,0.88306,0.5459,2.1049609733581542,0.7564,0.8325
22,0.62042,1.7411491300201416,0.001,0.82456,0.89048,0.5384,2.1678388655662535,0.7478,0.8305
23,0.62584,1.72401630569458,0.001,0.82954,0.89096,0.4745,2.57257707195282,0.6883,0.7743
24,0.63332,1.7028788174438476,0.001,0.83438,0.89558,0.5238,2.2184158226013184,0.7345,0.8153
25,0.6375,1.684341753692627,0.001,0.8365,0.8985,0.5026,2.483250640296936,0.7156,0.8005
26,0.64102,1.671620708808899,0.0003162278,0.84126,0.90194,0.5399,2.1832178134918214,0.7548,0.8265
27,0.64668,1.6584944919967652,0.001,0.84538,0.90356,0.4614,2.6968192078590394,0.7005,0.7876
28,0.65256,1.6376264072036744,0.001,0.84868,0.90678,0.556,2.108946405887604,0.7659,0.8425
29,0.65446,1.6317132691192626,0.001,0.84872,0.90712,0.5233,2.3573854328155517,0.7361,0.814
30,0.65704,1.6205842433166504,0.001,0.85372,0.91136,0.5488,2.145346350097656,0.7582,0.8377
31,0.66564,1.600178576965332,0.0003162278,0.85858,0.91344,0.5236,2.3525566756248475,0.7349,0.8157
32,0.66562,1.5920934128952027,0.001,0.85936,0.9148,0.5759,2.057975355911255,0.779,0.8464
33,0.67254,1.5767848942565919,0.001,0.86214,0.91656,0.5338,2.332458664512634,0.7363,0.8104
34,0.6731,1.5737493547439576,0.001,0.86456,0.91798,0.5276,2.3092631058692934,0.7402,0.8212
35,0.68124,1.553452126045227,0.001,0.86766,0.922,0.5531,2.2101293893814087,0.7586,0.8317
36,0.68106,1.5509802472305299,0.001,0.86848,0.92158,0.5566,2.2266115078926085,0.7596,0.8355
37,0.68248,1.5444297652053833,0.0003162278,0.8709,0.92302,0.5285,2.354320129585266,0.7338,0.8111
38,0.688,1.52271413772583,0.001,0.87442,0.9264,0.5041,2.5315234888076783,0.7167,0.7982
39,0.6923,1.5162333910369874,0.001,0.87792,0.92568,0.5205,2.406323258686066,0.7261,0.802
40,0.69042,1.5144969624328612,0.001,0.87698,0.92732,0.5406,2.32859710559845,0.7511,0.8228
41,0.69496,1.509944404220581,0.001,0.87768,0.927,0.5031,2.610470260810852,0.7036,0.7832
42,0.69678,1.497487704925537,0.0003162278,0.8812,0.93056,0.5261,2.469590540790558,0.7348,0.8134
43,0.6962,1.4968286393356323,0.001,0.88142,0.93078,0.519,2.4971641331672667,0.7363,0.813
44,0.70392,1.482598060760498,0.001,0.88404,0.93208,0.5472,2.361422382926941,0.7539,0.8244
45,0.70268,1.4816281809997558,0.001,0.88408,0.93378,0.5233,2.4534320724487304,0.7347,0.8128
46,0.70758,1.4706446132278443,0.001,0.88668,0.934,0.5669,2.1896075597763063,0.768,0.8423
47,0.70746,1.468835985069275,0.0003162278,0.8879,0.93642,0.5555,2.270633786582947,0.7606,0.834
48,0.70736,1.4653118264389038,0.001,0.88962,0.9362,0.557,2.2588230563163756,0.7654,0.8432
49,0.71616,1.4495296729660034,0.001,0.8905,0.9381,0.5094,2.5954764589309693,0.7154,0.7916
50,0.71,1.4543109384536743,0.001,0.89234,0.9376,0.5314,2.594230690574646,0.7479,0.8262
51,0.71566,1.4450850898361205,0.001,0.89276,0.93878,0.5224,2.477695725154877,0.7335,0.8123
52,0.7168,1.4413433553695678,0.0003162278,0.89392,0.93944,0.5362,2.454113822746277,0.7393,0.8098
53,0.71674,1.4396368571853637,0.001,0.89516,0.93992,0.5338,2.482716030597687,0.7406,0.8186
54,0.72062,1.4269932598114015,0.001,0.89736,0.94098,0.5206,2.5122412254333497,0.7362,0.8148
55,0.71956,1.4316234279251099,0.001,0.89718,0.94196,0.5465,2.3894778602600097,0.7497,0.8239
56,0.72022,1.425058457813263,0.001,0.89744,0.94194,0.5456,2.4162128395080567,0.7578,0.8301
57,0.72442,1.4168700156402587,0.0003162278,0.8986,0.94226,0.5348,2.448860908699036,0.7528,0.8301
58,0.72438,1.4167225463104247,0.001,0.89942,0.943,0.5593,2.3212673641204833,0.7568,0.8338
59,0.7261,1.4094496408081054,0.001,0.90096,0.94448,0.5335,2.463933081150055,0.7382,0.8144
60,0.73038,1.406261576538086,0.001,0.9017,0.9445,0.5478,2.4026435665130617,0.7566,0.8292
61,0.7296,1.4033276436233522,0.001,0.90216,0.94518,0.5449,2.3830266045570374,0.7449,0.8248
62,0.73138,1.3991619820404053,0.0003162278,0.90302,0.94528,0.5119,2.6301248668670656,0.7254,0.8051
63,0.7325,1.397635211982727,0.001,0.90452,0.9467,0.5388,2.4142654438972473,0.747,0.8243
64,0.7341,1.3890526941680907,0.001,0.9036,0.9466,0.5148,2.6598988889694213,0.728,0.812
65,0.73358,1.392344624862671,0.001,0.90592,0.94796,0.5151,2.658167416858673,0.7183,0.7976
66,0.73228,1.3928961153411865,0.001,0.90584,0.948,0.5691,2.291134866142273,0.7677,0.841
67,0.7373,1.375214140777588,0.0003162278,0.90846,0.94922,0.5069,2.748870250225067,0.7204,0.8048
68,0.73864,1.3771799479675293,0.001,0.9073,0.94902,0.5658,2.307381070995331,0.768,0.8408
69,0.73868,1.3773509677505493,0.001,0.90746,0.9494,0.5356,2.5233510890960695,0.7431,0.8181
70,0.73782,1.3730942168045044,0.001,0.90956,0.95004,0.5403,2.5320654099464415,0.7421,0.8164
71,0.73982,1.3673682224273682,0.001,0.91072,0.95068,0.5258,2.579515670871735,0.7261,0.803
72,0.74134,1.3668160344314575,0.0003162278,0.91004,0.95096,0.559,2.276281541633606,0.7738,0.85
73,0.74084,1.3664119255065919,0.001,0.9104,0.95194,0.5367,2.562920827102661,0.7463,0.8226
74,0.743,1.3575425805664063,0.001,0.91096,0.95198,0.524,2.7321078024864196,0.7216,0.8038
75,0.7466,1.3539257328033447,0.001,0.9118,0.9523,0.5366,2.626164454460144,0.7467,0.8234
76,0.74422,1.352150587425232,0.001,0.91326,0.95246,0.5035,2.7397773967742918,0.7173,0.7989
77,0.7472,1.3523833140182495,0.0003162278,0.91302,0.952,0.542,2.53069035949707,0.7473,0.8192
78,0.74796,1.346665361366272,0.001,0.91296,0.95318,0.5481,2.4903831045150757,0.7579,0.8337
79,0.74818,1.3431056635665894,0.001,0.91314,0.95318,0.5405,2.6186223775863646,0.7447,0.8214
80,0.74888,1.3433311471176148,0.001,0.91606,0.9536,0.5553,2.425445200920105,0.76,0.8323
81,0.82218,1.1046800961685181,1e-04,0.94992,0.97494,0.6788,1.7365952324867249,0.8516,0.9084
82,0.84968,1.0006335704231262,1e-04,0.96278,0.98204,0.6784,1.737518763256073,0.852,0.9073
83,0.85768,0.9630760494613647,1e-04,0.96558,0.98376,0.6862,1.7081591627120971,0.8572,0.9104
84,0.86896,0.922509306678772,1e-04,0.96964,0.98662,0.6907,1.711633122062683,0.857,0.9132
85,0.87602,0.8883408666229248,1e-04,0.97226,0.9877,0.6887,1.7171944130897523,0.8596,0.9138
86,0.88152,0.8656314663314819,1e-04,0.97456,0.98878,0.6863,1.7151506747245788,0.859,0.9109
87,0.88616,0.8407326492500306,1e-04,0.97658,0.98988,0.6854,1.716665091896057,0.858,0.9087
88,0.8891,0.820809460144043,3.1622774e-05,0.97792,0.99082,0.6856,1.7112173143386842,0.8619,0.9121
89,0.8944,0.8013727248764038,1e-04,0.9787,0.9911,0.6888,1.7125447232246398,0.8597,0.9112
90,0.89642,0.7828190215873718,1e-04,0.98082,0.99142,0.6822,1.7485683303833008,0.8572,0.9099
91,0.8999,0.7658687964057922,1e-04,0.98178,0.99256,0.685,1.7387224181175231,0.8594,0.9101
92,0.90158,0.7490283047294617,1e-04,0.98302,0.99356,0.6881,1.6973916893005372,0.8619,0.912
93,0.90464,0.7344344572257996,1e-04,0.98412,0.99426,0.6857,1.7420303295135497,0.8586,0.9114
94,0.90642,0.7205754891204834,1e-04,0.98462,0.99398,0.6818,1.7773795776367187,0.8544,0.9088
95,0.90812,0.7111382036972046,1e-04,0.98538,0.99426,0.6837,1.7524505316734313,0.8578,0.9095
96,0.9084,0.6984342481803893,1e-04,0.98566,0.99434,0.6822,1.763875581741333,0.8571,0.9077
97,0.91238,0.6848298566246033,3.1622774e-05,0.98594,0.99478,0.6818,1.7692810611724854,0.8568,0.9104
98,0.9138,0.6719240692710876,1e-04,0.98732,0.99548,0.6796,1.789832009601593,0.852,0.9064
99,0.91848,0.6567619491386414,1e-04,0.98784,0.99534,0.6828,1.77737683801651,0.8563,0.9091
100,0.91716,0.6550169821739197,1e-04,0.9869,0.99544,0.6794,1.789626888513565,0.8533,0.9069
101,0.92126,0.6408006523895263,1e-04,0.9888,0.99604,0.689,1.7492858095169068,0.8581,0.9108
102,0.92142,0.6309281836891174,3.1622774e-05,0.98916,0.99608,0.6823,1.7591118097305298,0.8575,0.9081
103,0.92418,0.6207241506958008,1e-04,0.98968,0.99642,0.6797,1.8051028262138367,0.8514,0.9047
104,0.92528,0.6143105021476746,1e-04,0.99038,0.99656,0.6766,1.806752483844757,0.8515,0.9075
105,0.9248,0.6067830383300781,1e-04,0.98992,0.9964,0.682,1.818077783346176,0.8512,0.907
106,0.92772,0.5970588840103149,1e-04,0.99054,0.99678,0.679,1.7996672700881957,0.8566,0.9089
107,0.92712,0.591647466430664,3.1622774e-05,0.99032,0.9969,0.6825,1.827997223186493,0.8534,0.9054
108,0.92852,0.5840369346618652,1e-04,0.99116,0.99704,0.6822,1.8012514725208282,0.855,0.9074
109,0.93188,0.5732595488548279,1e-04,0.9916,0.99714,0.6795,1.8362429966926574,0.8527,0.9056
110,0.93162,0.5664985383987426,1e-04,0.9923,0.99748,0.6782,1.856564030647278,0.852,0.9046
111,0.93236,0.5615568923950195,1e-04,0.99196,0.99774,0.6761,1.8471560660839081,0.8523,0.9052
112,0.93584,0.5501187119102477,3.1622774e-05,0.99288,0.99762,0.6776,1.894470461845398,0.8504,0.9033
113,0.9345,0.5450810866355896,1e-04,0.9925,0.99782,0.6761,1.8328320538997651,0.8527,0.9044
114,0.93714,0.5399275718307495,1e-04,0.9923,0.9977,0.6718,1.8648593642234803,0.8509,0.9058
115,0.93914,0.52947661154747,1e-04,0.99344,0.99826,0.6706,1.9174443264007568,0.848,0.9018
116,0.9389,0.5265192965888977,1e-04,0.99266,0.99726,0.6739,1.878570559310913,0.8472,0.9023
117,0.93798,0.5236316827774048,3.1622774e-05,0.99338,0.99766,0.6783,1.869246494102478,0.8535,0.9046
118,0.94078,0.5128984529113769,1e-04,0.99356,0.99782,0.6719,1.8881715181827545,0.8488,0.9032
119,0.939,0.511971051902771,1e-04,0.99326,0.99826,0.6773,1.9035008662700652,0.8515,0.9043
120,0.94054,0.5070561953926086,1e-04,0.99388,0.9983,0.6679,1.947394819879532,0.8471,0.9025
121,0.95056,0.48097348828315734,1e-05,0.99544,0.99886,0.6869,1.826283733034134,0.8596,0.9118
122,0.95452,0.4715109328079224,3.1622776e-06,0.99588,0.99886,0.6888,1.8236500559806823,0.8594,0.9128
123,0.95554,0.4648507703399658,1e-05,0.99636,0.99878,0.6856,1.824392648267746,0.8587,0.9124
124,0.95736,0.46170465030670166,1e-05,0.99642,0.9991,0.6887,1.8234169386863708,0.8592,0.9123
125,0.95706,0.46074079916000366,1e-05,0.99646,0.9992,0.6868,1.823686708688736,0.8585,0.9122
126,0.95716,0.4582293604373932,1e-05,0.99672,0.99922,0.6867,1.8257289333343505,0.8582,0.9113
127,0.95884,0.45596091222763063,3.1622776e-06,0.99656,0.99904,0.6867,1.826417881011963,0.8593,0.9109
128,0.96028,0.4523662767791748,1e-05,0.99728,0.9994,0.6858,1.8284154383659363,0.8608,0.9098
129,0.96028,0.4522944054031372,1e-05,0.99654,0.99916,0.6868,1.8268373239517213,0.8599,0.9116
130,0.96004,0.4496653579902649,1e-05,0.99706,0.99928,0.687,1.829038676929474,0.8601,0.9116
131,0.95966,0.4496468039894104,1e-05,0.99724,0.99926,0.6869,1.830369395971298,0.8595,0.9102
132,0.9607,0.44897623972892764,3.1622776e-06,0.9967,0.9993,0.6865,1.829342854499817,0.8593,0.9119
133,0.96142,0.4464684813308716,1e-05,0.9968,0.99928,0.6859,1.829850816822052,0.8594,0.9097
