epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.13572,3.862098941497803,0.001,0.27426,0.36358,0.2024,3.4239554935455323,0.3831,0.4936
1,0.2283,3.2721650576019288,0.001,0.41856,0.52578,0.2573,3.1296271490097047,0.4594,0.5655
2,0.2902,2.9724176401519777,0.001,0.49716,0.60368,0.3041,2.914241569328308,0.5109,0.6189
3,0.33302,2.7561984494781493,0.001,0.55244,0.65538,0.3409,2.72636487159729,0.5632,0.6653
4,0.37464,2.586227074890137,0.001,0.59692,0.69964,0.3659,2.6408906435012818,0.5842,0.6892
5,0.40162,2.4586872750854494,0.001,0.6271,0.72598,0.4053,2.4712023010253907,0.625,0.7207
6,0.42968,2.346517803649902,0.001,0.6557,0.7519,0.4161,2.402293084335327,0.6407,0.7438
7,0.4535,2.2532858364868162,0.001,0.67772,0.76856,0.453,2.2735243428230287,0.6721,0.7623
8,0.471,2.180180228767395,0.001,0.69768,0.78372,0.4635,2.1982380073547363,0.6922,0.7832
9,0.48938,2.1146463150787356,0.001,0.71208,0.7975,0.4709,2.1842691407203674,0.6935,0.7861
10,0.50154,2.0646254444885255,0.001,0.72312,0.80814,0.4849,2.1430655933380125,0.7067,0.7941
11,0.51356,2.017140702285767,0.001,0.73468,0.81782,0.4964,2.1373028310775757,0.7102,0.7982
12,0.52326,1.9754003285217285,0.001,0.74634,0.82786,0.5084,2.063664896774292,0.7284,0.8117
13,0.53456,1.9426853554534913,0.001,0.75366,0.83116,0.5218,2.014380667591095,0.7381,0.8167
14,0.5468,1.9009870541763305,0.001,0.7613,0.83954,0.5056,2.0741635236740112,0.7271,0.8124
15,0.55424,1.86806940284729,0.001,0.76952,0.8452,0.5088,2.104749110889435,0.722,0.8062
16,0.55988,1.8439969352722168,0.001,0.77728,0.8513,0.5385,1.9573521029472352,0.7523,0.8345
17,0.57142,1.8127686390304565,0.001,0.78444,0.85788,0.5257,2.027249492931366,0.7406,0.8235
18,0.57464,1.7900002065277099,0.001,0.78892,0.86118,0.5387,1.9712700881958007,0.7526,0.831
19,0.58204,1.772434938583374,0.001,0.793,0.863,0.5379,1.9985065232276917,0.7526,0.8289
20,0.58172,1.7608879705429077,0.001,0.79644,0.86696,0.5274,2.0424177059173583,0.7433,0.8243
21,0.5917,1.7341002906799317,0.0003162278,0.80152,0.87068,0.534,2.0489976383209227,0.7401,0.8139
22,0.59914,1.721472891960144,0.001,0.80386,0.87342,0.5587,1.9205815880775452,0.7657,0.8455
23,0.60264,1.7010883727645874,0.001,0.8098,0.87636,0.5502,1.9289115281105043,0.7665,0.8422
24,0.6065,1.6864396250152587,0.001,0.81334,0.87912,0.5591,1.9069576621055604,0.7682,0.8456
25,0.61194,1.6692731685638427,0.001,0.81518,0.88076,0.555,1.9614889491081238,0.7622,0.8376
26,0.61584,1.6566045386886596,0.001,0.8195,0.8862,0.5575,1.9760069610595703,0.7538,0.8302
27,0.61724,1.6434782525634766,0.001,0.8232,0.8868,0.5243,2.1440917008399962,0.7377,0.8181
28,0.62202,1.6367253031158446,0.001,0.82538,0.88902,0.5538,1.9795364379882812,0.761,0.8395
29,0.62812,1.6196825546264648,0.0003162278,0.82704,0.8912,0.5422,2.049865145301819,0.7523,0.8313
30,0.62996,1.6092765414810182,0.001,0.83102,0.89316,0.5617,1.9169741137504577,0.7737,0.85
31,0.63414,1.5973691998672486,0.001,0.83266,0.8941,0.5679,1.9132393399238588,0.7798,0.8514
32,0.6343,1.588655587348938,0.001,0.83576,0.89768,0.547,2.0831833450317383,0.7482,0.83
33,0.64266,1.572416222267151,0.001,0.83826,0.89788,0.5509,2.017135974693298,0.7575,0.8314
34,0.6413,1.5723957808685303,0.0003162278,0.84004,0.90004,0.5716,1.9473446632385254,0.7745,0.8485
35,0.64184,1.5624622574234008,0.001,0.8412,0.9005,0.5526,2.040235738658905,0.7562,0.8336
36,0.6464,1.5589331071472168,0.001,0.84226,0.9012,0.534,2.111529062652588,0.7485,0.8291
37,0.65046,1.5469196420669555,0.001,0.84568,0.90392,0.564,1.9996686310768128,0.7604,0.837
38,0.6504,1.542177421607971,0.001,0.84722,0.90424,0.5519,2.0615550868034362,0.7632,0.8354
39,0.65556,1.5293231247329713,0.0003162278,0.85062,0.90808,0.5484,2.024673719215393,0.7606,0.8372
40,0.65364,1.535219096069336,0.001,0.84726,0.90568,0.5654,1.9709770668029785,0.775,0.8428
41,0.65472,1.526353173904419,0.001,0.85312,0.90768,0.558,2.040369961929321,0.7636,0.8407
42,0.65886,1.518018917388916,0.001,0.85092,0.9104,0.5433,2.0805779108047484,0.7544,0.8305
43,0.65894,1.5133552431488038,0.001,0.8529,0.90984,0.5452,2.070446769142151,0.7524,0.8306
44,0.6619,1.5013189065933228,0.0003162278,0.85496,0.9107,0.559,1.9921545906066895,0.7734,0.8492
45,0.66698,1.4939941778182984,0.001,0.85738,0.91196,0.5486,2.1211814740180968,0.753,0.8302
46,0.669,1.493726632003784,0.001,0.85764,0.91234,0.5662,1.9807640679359435,0.7687,0.8447
47,0.66798,1.489367818145752,0.001,0.85782,0.91396,0.556,2.087027173995972,0.7646,0.8361
48,0.66956,1.4853095835113526,0.001,0.86044,0.916,0.5512,2.1021156539916994,0.7542,0.8322
49,0.6713,1.4814106582069397,0.0003162278,0.85942,0.91376,0.5538,2.1295006934165954,0.7589,0.834
50,0.67242,1.4720329805374146,0.001,0.86304,0.91834,0.5492,2.1089348908424377,0.754,0.8305
51,0.67018,1.4740796757125854,0.001,0.86128,0.91756,0.5383,2.2447893550872804,0.7403,0.8196
52,0.67328,1.4617701491928101,0.001,0.86582,0.91924,0.5759,1.9735070414543152,0.7764,0.851
53,0.67598,1.462328136177063,0.001,0.86536,0.91932,0.5607,2.0129921834945677,0.7681,0.8387
54,0.67688,1.4556272103881835,0.0003162278,0.8671,0.91976,0.5409,2.182247533798218,0.7469,0.8243
55,0.6783,1.4551820277023315,0.001,0.86694,0.9201,0.5624,2.0217261816978453,0.7733,0.8453
56,0.67846,1.4521574563598634,0.001,0.86592,0.9202,0.5573,2.0951321220397947,0.767,0.839
57,0.68378,1.4413741471862793,0.001,0.87024,0.9217,0.5023,2.52120579328537,0.7023,0.7842
58,0.68112,1.4440951054000855,0.001,0.86822,0.92156,0.558,2.0602575600624085,0.7699,0.8452
59,0.68266,1.4435111838912964,0.0003162278,0.8694,0.92094,0.5436,2.185767372608185,0.7565,0.829
60,0.68502,1.4332007535934448,0.001,0.8695,0.92246,0.5302,2.3011084617614745,0.7388,0.8217
61,0.68738,1.433466061439514,0.001,0.87172,0.9231,0.5593,2.126045611667633,0.7636,0.8363
62,0.68578,1.4305304064178468,0.001,0.87094,0.92262,0.5293,2.297339940357208,0.7406,0.8145
63,0.68894,1.4232915180587768,0.001,0.8722,0.92462,0.5482,2.1800345019340517,0.7513,0.8313
64,0.68966,1.4197199043273925,0.0003162278,0.87476,0.9245,0.5607,2.064681733417511,0.7664,0.8429
65,0.69078,1.4182766220474243,0.001,0.87368,0.92516,0.5606,2.1228463079452515,0.7631,0.8397
66,0.68804,1.4284200447845459,0.001,0.87206,0.9244,0.5413,2.243597416687012,0.7476,0.8231
67,0.69256,1.4108743161010742,0.001,0.87428,0.92658,0.5486,2.2222893250465394,0.7454,0.8245
68,0.69426,1.4118892380523682,0.001,0.87782,0.92604,0.5735,2.022688212013245,0.7756,0.8457
69,0.69342,1.4058585082626343,0.0003162278,0.87902,0.92874,0.5723,2.034244478225708,0.7735,0.8461
70,0.69188,1.4104940438461304,0.001,0.87718,0.92762,0.5736,2.0783696077346803,0.7743,0.8441
71,0.69466,1.4055438230133057,0.001,0.87968,0.9288,0.5432,2.202760055923462,0.7601,0.8374
72,0.69416,1.4029750640106202,0.001,0.8778,0.92836,0.5575,2.17169210395813,0.7612,0.8369
73,0.69624,1.3993821562957764,0.001,0.87826,0.928,0.5604,2.134089252758026,0.7623,0.8354
