epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.14326,4.374668727645874,0.001,0.29194,0.38574,0.1743,3.932358898925781,0.3437,0.4429
1,0.24014,3.4891306479644775,0.001,0.43356,0.54012,0.2578,3.3346476165771484,0.4549,0.5646
2,0.30154,3.1056773817443846,0.001,0.51534,0.62124,0.3316,2.9625385496139525,0.5449,0.6511
3,0.35488,2.837219804840088,0.001,0.5787,0.68388,0.3583,2.861937405014038,0.5773,0.6797
4,0.39994,2.6267384258270265,0.001,0.6285,0.72674,0.4072,2.5939315113067627,0.6311,0.7306
5,0.43528,2.471879446525574,0.001,0.66372,0.75836,0.4255,2.5188351009368897,0.6466,0.7416
6,0.46452,2.34905006980896,0.001,0.69288,0.785,0.478,2.307031004142761,0.7034,0.7905
7,0.49322,2.2428657135391235,0.001,0.7189,0.8042,0.4816,2.2693078174591066,0.7144,0.8035
8,0.51346,2.146229549102783,0.001,0.73566,0.8218,0.4877,2.33144153881073,0.706,0.7894
9,0.53412,2.065833650741577,0.001,0.75594,0.83676,0.4878,2.329177450275421,0.7032,0.7905
10,0.54938,2.0056591592407225,0.001,0.76814,0.8479,0.5146,2.2077956254959106,0.7379,0.8229
11,0.56908,1.9368333876800536,0.001,0.78246,0.85692,0.5483,2.0522752367019654,0.758,0.8354
12,0.58268,1.8923058515167237,0.001,0.79374,0.86482,0.5029,2.3182933367729186,0.7298,0.8115
13,0.59518,1.838234158706665,0.001,0.80468,0.8742,0.5498,2.0188281907081604,0.7657,0.8369
14,0.60466,1.8015737281799316,0.001,0.81572,0.88164,0.536,2.14331399269104,0.7473,0.8266
15,0.61374,1.7641928721237183,0.001,0.82138,0.8872,0.5668,1.9918583480834962,0.7762,0.8496
16,0.62572,1.73228563747406,0.001,0.82732,0.89054,0.5325,2.1906302238464357,0.7491,0.83
17,0.63522,1.6939454298782348,0.001,0.83828,0.89886,0.5659,2.0169461636543273,0.7726,0.8441
18,0.64506,1.6658851292037964,0.001,0.84142,0.90224,0.5561,2.1235001499176027,0.766,0.8401
19,0.65168,1.6439826545333862,0.001,0.84666,0.90354,0.5758,2.0002272197723387,0.7831,0.8532
20,0.65748,1.6187930630874634,0.0003162278,0.8514,0.9081,0.5302,2.3531377004623413,0.7454,0.8279
21,0.66418,1.5928191721343994,0.001,0.85758,0.91258,0.6047,1.8901591239929199,0.7983,0.8647
22,0.67026,1.5678782446670532,0.001,0.86016,0.9153,0.5718,2.056618572998047,0.7794,0.8495
23,0.67744,1.5484641500854492,0.001,0.86662,0.9193,0.5915,1.957597313785553,0.7927,0.8638
24,0.68522,1.5251977675247193,0.001,0.87086,0.92294,0.57,2.0879794589996337,0.774,0.8456
25,0.68816,1.5099782924652099,0.001,0.87412,0.92534,0.5882,1.9821858524322509,0.7984,0.8647
26,0.69682,1.490473214263916,0.0003162278,0.87798,0.92746,0.5836,2.0010058033943174,0.7879,0.8552
27,0.69678,1.4775685306167603,0.001,0.8804,0.93002,0.5844,2.005239157104492,0.7976,0.8667
28,0.70336,1.4625771625900268,0.001,0.8832,0.93178,0.5607,2.193456884384155,0.7706,0.8409
29,0.70552,1.4552607954788208,0.001,0.88572,0.93328,0.5981,1.9487996325492858,0.8037,0.8676
30,0.71302,1.4322927937698364,0.001,0.88958,0.93616,0.585,2.079807448387146,0.792,0.8631
31,0.71742,1.4211905978012085,0.0003162278,0.89226,0.93696,0.6138,1.9492093578338623,0.813,0.8762
32,0.719,1.413518334274292,0.001,0.89336,0.9385,0.6069,1.9528765669822692,0.8066,0.8719
33,0.72316,1.3994542443466187,0.001,0.89606,0.94116,0.6073,1.930382084941864,0.8083,0.8742
34,0.72944,1.3830197887420654,0.001,0.89822,0.9414,0.5934,1.9858344960212708,0.7994,0.8688
35,0.732,1.373996309890747,0.001,0.90036,0.94396,0.6053,2.0509879861831664,0.7897,0.8588
36,0.73362,1.3647448572540284,0.0003162278,0.90382,0.94582,0.6185,1.9558658009529113,0.8065,0.8713
37,0.73626,1.3525886646270753,0.001,0.9063,0.94712,0.6247,1.9116897948265075,0.8141,0.877
38,0.7385,1.3484327268600464,0.001,0.90686,0.94696,0.6268,1.9079840028762818,0.8192,0.8787
39,0.74246,1.3406162997436524,0.001,0.90774,0.94832,0.612,2.044186694049835,0.7997,0.8569
40,0.74604,1.3296456659698486,0.001,0.91012,0.95168,0.6192,1.9172621424674987,0.8101,0.8749
41,0.74722,1.3201241625213622,0.001,0.91272,0.9516,0.6416,1.8644258931159974,0.828,0.8878
42,0.75172,1.3151556979370118,0.001,0.9142,0.95122,0.6168,1.9535175357818604,0.8204,0.8839
43,0.75338,1.304282324028015,0.001,0.91612,0.95354,0.6252,1.9288861172676086,0.8187,0.8817
44,0.75592,1.2938390659332275,0.001,0.91804,0.95472,0.6257,1.9479323476791381,0.8162,0.8815
45,0.75758,1.2957308685684203,0.001,0.91834,0.95636,0.6262,2.0086568868637085,0.814,0.8748
46,0.75838,1.288068819885254,0.0003162278,0.91784,0.956,0.6193,1.985986602306366,0.8124,0.8724
47,0.7612,1.2797135416793823,0.001,0.91992,0.9576,0.6255,2.025190464878082,0.8117,0.8727
48,0.7645,1.2674520790100097,0.001,0.9229,0.95916,0.6208,1.9956905649185182,0.8161,0.8774
49,0.76434,1.2701177372741699,0.001,0.9228,0.9582,0.6,2.1758627519607545,0.7983,0.8633
50,0.76818,1.2623179238891602,0.001,0.92302,0.95886,0.6223,1.9642943987846375,0.8151,0.8789
51,0.77112,1.2502262537193298,0.0003162278,0.92528,0.96078,0.6409,1.9139653281211852,0.8279,0.8866
52,0.77132,1.2469579638290404,0.001,0.92622,0.961,0.6111,2.1053595952033994,0.8029,0.8652
53,0.77016,1.2472686125183106,0.001,0.92628,0.96164,0.6244,1.9802471963882446,0.8181,0.8793
54,0.7751,1.235094463005066,0.001,0.92858,0.96304,0.6199,1.9655922730445863,0.8205,0.8831
55,0.77728,1.2337482138824463,0.001,0.9291,0.9629,0.6302,2.0018456845283508,0.8238,0.8848
56,0.77658,1.2265865795135498,0.0003162278,0.92968,0.96382,0.6233,1.9697238050460815,0.8152,0.8781
57,0.78166,1.2159052087783813,0.001,0.93188,0.9644,0.615,2.062352682685852,0.8113,0.872
58,0.7842,1.2145224422454834,0.001,0.93094,0.96382,0.6292,1.987235494041443,0.8204,0.8801
59,0.78252,1.216369330635071,0.001,0.93136,0.96486,0.6243,2.115960566043854,0.8125,0.8747
60,0.78478,1.2063219634628295,0.001,0.93372,0.9663,0.6157,2.1593978311538695,0.8075,0.8674
61,0.78498,1.2061661180114747,0.0003162278,0.93464,0.96632,0.6298,2.0309379035949706,0.8233,0.8776
62,0.79074,1.1895668257522583,0.001,0.9375,0.9677,0.5902,2.238922477722168,0.7885,0.858
63,0.78628,1.1990156448745728,0.001,0.93506,0.96544,0.6015,2.190824890899658,0.8014,0.8655
64,0.7906,1.1935650852584838,0.001,0.93658,0.96762,0.599,2.190275113773346,0.7913,0.8581
65,0.78928,1.1843221691131591,0.001,0.93846,0.96848,0.6415,1.9104731531143189,0.8368,0.8904
