epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.14106,4.009317298049926,0.001,0.28576,0.37914,0.1918,3.646995827102661,0.3655,0.4684
1,0.2327,3.3775623888397215,0.001,0.42516,0.5339,0.2562,3.218387049484253,0.4681,0.5783
2,0.29406,3.05821801322937,0.001,0.50494,0.61052,0.3148,2.9830129287719727,0.5234,0.6277
3,0.34438,2.8061579889678954,0.001,0.56396,0.66786,0.3562,2.7502332090377806,0.5768,0.6778
4,0.38666,2.606824670257568,0.001,0.61522,0.71496,0.3922,2.5716028066635133,0.6267,0.7265
5,0.42434,2.4535643351745606,0.001,0.65048,0.7462,0.4235,2.4881595813751223,0.641,0.735
6,0.45222,2.334977556991577,0.001,0.6786,0.77072,0.44,2.4310350118637083,0.652,0.7462
7,0.477,2.2309651814270017,0.001,0.70184,0.79032,0.4719,2.276108014678955,0.6891,0.7802
8,0.50228,2.1351045738601684,0.001,0.72414,0.80908,0.4861,2.2496062646865846,0.701,0.7907
9,0.5218,2.0627255406188967,0.001,0.74262,0.82364,0.5091,2.1401273336410522,0.7293,0.8092
10,0.53846,1.9947983011627197,0.001,0.75656,0.83606,0.5121,2.138370489692688,0.7256,0.8102
11,0.55488,1.9377017433166503,0.001,0.77078,0.84626,0.5377,2.0620158073425294,0.7453,0.8209
12,0.5682,1.8923946367263793,0.001,0.77966,0.85522,0.5506,2.003735944271088,0.7543,0.8302
13,0.58572,1.8375797393035889,0.001,0.79352,0.86448,0.5599,1.955941293334961,0.7666,0.8431
14,0.59552,1.7983150344848633,0.001,0.8027,0.87182,0.5626,1.969415442943573,0.7702,0.8416
15,0.60314,1.768937571144104,0.001,0.81038,0.87768,0.5667,1.9345666007995606,0.777,0.85
16,0.61236,1.7317460898590087,0.001,0.81856,0.88252,0.5813,1.9198654190063476,0.7776,0.8499
17,0.6202,1.711980012626648,0.001,0.82468,0.88792,0.5897,1.8710189117431641,0.792,0.8585
18,0.63148,1.6783662268447876,0.001,0.8323,0.89434,0.5755,1.9343514536857604,0.7793,0.851
19,0.63498,1.6631910403823853,0.001,0.83524,0.89666,0.5748,1.9408328528404235,0.7876,0.862
20,0.64338,1.6346858854675292,0.001,0.8387,0.89894,0.5938,1.8697977043151854,0.7971,0.8673
21,0.65222,1.6094550807189942,0.001,0.84636,0.90438,0.5785,1.9415898167610168,0.7848,0.8543
22,0.6552,1.5951401644515992,0.001,0.84954,0.90762,0.5702,2.0277410943031313,0.77,0.8414
23,0.6621,1.575196796875,0.001,0.85464,0.91164,0.5972,1.8931267841339112,0.799,0.8664
24,0.66766,1.5512517791748046,0.001,0.8589,0.91394,0.5876,2.0131951829910277,0.7841,0.8526
25,0.67186,1.5464251300811767,0.0003162278,0.86234,0.9165,0.5856,1.9533416409492492,0.7891,0.8572
26,0.67958,1.523166572265625,0.001,0.86556,0.91848,0.5781,2.0398369526863096,0.786,0.8568
27,0.6829,1.5102383961868286,0.001,0.86852,0.92066,0.5894,1.9697659388542175,0.791,0.8596
28,0.68884,1.5012542671966553,0.001,0.86948,0.92262,0.5821,2.0455452193260193,0.7809,0.8545
29,0.68864,1.4931139640426636,0.001,0.87386,0.92348,0.6004,1.9460170721054078,0.7954,0.8624
30,0.69388,1.4770243376922607,0.0003162278,0.87696,0.92626,0.601,1.9682565954208373,0.794,0.8648
31,0.69634,1.463716949195862,0.001,0.8807,0.92926,0.5697,2.1282595257759094,0.7798,0.8478
32,0.70238,1.4524556135559081,0.001,0.88164,0.92948,0.6165,1.882833396911621,0.8099,0.874
33,0.7059,1.4449767065238952,0.001,0.8839,0.93254,0.5879,1.9809046855926513,0.7967,0.8658
34,0.70918,1.4251310730743407,0.001,0.88856,0.93562,0.619,1.8462996846199036,0.8172,0.877
35,0.71168,1.4160096770858766,0.001,0.8902,0.93682,0.6072,1.9578292344093322,0.8013,0.8689
36,0.7156,1.4074579297256469,0.001,0.89166,0.93822,0.6286,1.8713622184753418,0.8152,0.8767
37,0.71608,1.4058772793197631,0.001,0.89208,0.93794,0.6189,1.8650534269332886,0.8158,0.8793
38,0.72156,1.3915993749237061,0.001,0.89588,0.93974,0.6081,1.9907672249794006,0.8008,0.8645
39,0.72332,1.3873857537841796,0.0003162278,0.89668,0.94142,0.62,1.8784166799545288,0.8177,0.8806
40,0.72728,1.380886999206543,0.001,0.89808,0.9417,0.6138,1.9505652463912964,0.8083,0.8716
41,0.7273,1.3704719609832763,0.001,0.90124,0.94434,0.633,1.8458711029052735,0.8195,0.8795
42,0.7325,1.365512603263855,0.001,0.9012,0.9426,0.6101,2.006936113548279,0.8009,0.8649
43,0.73132,1.3646318272018432,0.001,0.90288,0.9451,0.5781,2.2541915852546692,0.7773,0.8472
44,0.7366,1.3486986890792847,0.001,0.90636,0.94712,0.6001,2.0651207426071165,0.7969,0.8613
45,0.73832,1.3461035980987548,0.001,0.9054,0.94654,0.6066,2.017566957473755,0.7993,0.8653
46,0.73872,1.3396977225494384,0.0003162278,0.90742,0.94946,0.6179,1.9853199584960937,0.8082,0.8728
47,0.7439,1.325781000289917,0.001,0.90928,0.94958,0.6033,2.0114280055999756,0.8075,0.8715
48,0.74432,1.3230168269729614,0.001,0.91176,0.9517,0.6021,2.128254147911072,0.7984,0.863
49,0.74814,1.3142691312789918,0.001,0.9131,0.95168,0.6055,2.0256227617263796,0.8075,0.8682
50,0.74944,1.3143533669662475,0.001,0.91266,0.9515,0.6086,2.0457821866989137,0.8084,0.8736
51,0.75264,1.3040784578704834,0.0003162278,0.91272,0.95318,0.6085,2.0317383961677553,0.803,0.8623
52,0.75076,1.3058990341949464,0.001,0.91458,0.95482,0.5968,2.1542666847229004,0.7976,0.8699
53,0.75556,1.2925368051528932,0.001,0.91782,0.95618,0.6028,2.1341544734954834,0.7953,0.8612
54,0.75732,1.2913715005874633,0.001,0.91904,0.95534,0.6115,2.023550045967102,0.8108,0.8764
55,0.75766,1.2846210166549683,0.001,0.91926,0.9566,0.5654,2.3438984495162964,0.778,0.852
56,0.76074,1.2771163346481322,0.0003162278,0.92162,0.95666,0.6054,2.0657990186691286,0.803,0.8697
57,0.76322,1.2736176908493042,0.001,0.92196,0.95736,0.6133,2.0056154280662537,0.8108,0.8698
58,0.76266,1.277235833969116,0.001,0.92046,0.95734,0.6127,2.0156651491165163,0.8047,0.8696
59,0.76624,1.2718104009628295,0.001,0.92276,0.95842,0.606,2.0787755714416503,0.8019,0.8691
60,0.76494,1.267982438583374,0.001,0.9231,0.95908,0.6075,2.094889723777771,0.8043,0.8676
