epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.07052,4.648258310699463,0.001,0.1667,0.23754,0.13,4.039846645736694,0.2774,0.378
1,0.16608,3.7870906157684328,0.001,0.33204,0.43254,0.2049,3.59359884223938,0.3925,0.4961
2,0.22856,3.4014181136322024,0.001,0.42262,0.52632,0.2487,3.3170041534423826,0.4462,0.552
3,0.28244,3.136790060043335,0.001,0.48988,0.5957,0.3053,3.0148745639801025,0.5222,0.6273
4,0.32596,2.92554817817688,0.001,0.54276,0.64726,0.3329,2.8928942682266237,0.5476,0.6546
5,0.36774,2.743953330078125,0.001,0.58608,0.6875,0.3725,2.7159803442001342,0.5936,0.6909
6,0.39758,2.5947833152008055,0.001,0.62432,0.72152,0.3982,2.6151171823501587,0.624,0.7231
7,0.42126,2.4863581843566895,0.001,0.64892,0.74538,0.4063,2.643134255027771,0.6196,0.7095
8,0.44884,2.3814722356414797,0.001,0.67658,0.76776,0.4305,2.5139563884735106,0.6472,0.7416
9,0.46916,2.299803663787842,0.001,0.69252,0.784,0.4487,2.4047115690231324,0.6729,0.7604
10,0.48644,2.2307948310470582,0.001,0.70986,0.7943,0.4563,2.364564909172058,0.6804,0.7718
11,0.50214,2.1656332137298584,0.001,0.7254,0.80948,0.468,2.3297889951705932,0.6906,0.7798
12,0.5178,2.1117624925231935,0.001,0.73822,0.8211,0.4817,2.3202162813186646,0.6966,0.7835
13,0.53078,2.0605889138793945,0.001,0.74838,0.82876,0.5043,2.186684821510315,0.7256,0.8052
14,0.54216,2.0110558519363404,0.001,0.76062,0.83892,0.4911,2.2905293210983277,0.7083,0.7925
15,0.55246,1.9683484357452392,0.001,0.77162,0.84794,0.5219,2.163492533302307,0.7391,0.8184
16,0.56648,1.9189385480499268,0.001,0.78376,0.85608,0.5108,2.2574597787857056,0.7178,0.8003
17,0.57698,1.8863284032440186,0.001,0.7881,0.86178,0.4953,2.337392251586914,0.709,0.7941
18,0.58876,1.8548159854125976,0.001,0.79638,0.86542,0.5184,2.2071896369934083,0.7302,0.8149
19,0.5929,1.8267908619308473,0.001,0.80208,0.87344,0.5282,2.168184860038757,0.7328,0.8105
20,0.60192,1.794631074333191,0.0003162278,0.80954,0.87846,0.5176,2.263790351104736,0.7283,0.8086
21,0.61048,1.7656909839248658,0.001,0.81738,0.88418,0.5317,2.1438674719810487,0.7444,0.8249
22,0.6191,1.74165482837677,0.001,0.82234,0.88812,0.5149,2.2448262435913087,0.7292,0.8163
23,0.62222,1.723557536087036,0.001,0.82494,0.88926,0.544,2.114515510368347,0.7559,0.8319
24,0.6274,1.703169624633789,0.001,0.82926,0.8917,0.5599,2.0230060554504394,0.7653,0.8462
25,0.63518,1.676972184753418,0.001,0.83882,0.8992,0.5227,2.252573878955841,0.7324,0.8145
26,0.64052,1.662417293510437,0.001,0.83954,0.8998,0.5464,2.147537127876282,0.7533,0.8292
27,0.64974,1.6412672854232788,0.001,0.84396,0.90382,0.5244,2.211702949333191,0.7394,0.8208
28,0.65178,1.629136826133728,0.001,0.84702,0.90552,0.5326,2.2000515420913698,0.7464,0.8258
29,0.65408,1.6151663940811156,0.0003162278,0.85266,0.90954,0.5657,2.052793988800049,0.7719,0.8485
30,0.65916,1.5990457781982421,0.001,0.855,0.91234,0.5317,2.232376795196533,0.7523,0.829
31,0.66046,1.5913266081619262,0.001,0.85802,0.91358,0.5167,2.3508455478668213,0.7274,0.805
32,0.66738,1.5812760341835022,0.001,0.85734,0.9147,0.5527,2.1713983110427857,0.7636,0.8336
33,0.66996,1.5661335763931274,0.001,0.86254,0.917,0.5498,2.144275876331329,0.7618,0.8364
34,0.67394,1.5589297462844849,0.0003162278,0.86424,0.91748,0.5224,2.37841729221344,0.7445,0.822
35,0.67388,1.5495823960494994,0.001,0.86618,0.9187,0.5531,2.2292466235160826,0.7536,0.8328
36,0.6804,1.5373503485107423,0.001,0.86894,0.9211,0.5085,2.426916541194916,0.7287,0.8107
37,0.68522,1.5198556379699708,0.001,0.87152,0.9227,0.5216,2.41281865272522,0.7318,0.8105
38,0.68696,1.5134715328216553,0.001,0.8734,0.92462,0.5428,2.1931906354904176,0.7516,0.8282
39,0.69032,1.5058167265701294,0.0003162278,0.8765,0.92694,0.5713,2.0937300386428834,0.7733,0.8467
40,0.69038,1.5004030059432982,0.001,0.87692,0.92846,0.5049,2.5651868968963623,0.7253,0.8093
41,0.69504,1.4881142835998535,0.001,0.879,0.92868,0.5317,2.339918539428711,0.7458,0.8276
42,0.69854,1.4784236694335937,0.001,0.87986,0.9308,0.5522,2.1933041785240173,0.7578,0.8366
43,0.69558,1.4795760458755494,0.001,0.88086,0.93088,0.5347,2.3448260530471803,0.7434,0.824
44,0.7032,1.4682925031661986,0.0003162278,0.88414,0.93234,0.531,2.41064555015564,0.7424,0.8175
45,0.7023,1.46450056640625,0.001,0.88372,0.93362,0.5677,2.168345591545105,0.7699,0.8403
46,0.70508,1.4635801345443726,0.001,0.88514,0.93286,0.5758,2.121446813583374,0.7752,0.8451
47,0.70682,1.4516002671051025,0.001,0.88744,0.935,0.5609,2.2077529755592344,0.7664,0.8395
48,0.71016,1.4450699658203126,0.001,0.88884,0.93482,0.5385,2.3396049787521362,0.7465,0.826
49,0.71198,1.4350234673690796,0.0003162278,0.89054,0.93832,0.5427,2.326588734149933,0.7493,0.8265
50,0.71698,1.4299354566574096,0.001,0.8912,0.93746,0.5541,2.355768415641785,0.7594,0.8306
51,0.71468,1.4233428562927246,0.001,0.8922,0.93856,0.5457,2.3057533414840696,0.748,0.8234
52,0.71592,1.4281027181243897,0.001,0.89338,0.93796,0.5522,2.3740381808280944,0.7572,0.8352
53,0.71804,1.417470924911499,0.001,0.89506,0.94038,0.56,2.267025993347168,0.7637,0.8385
54,0.72004,1.412042860107422,0.0003162278,0.8955,0.94066,0.5225,2.4595389570236206,0.7419,0.8224
55,0.72324,1.4081824011230468,0.001,0.89802,0.94046,0.5591,2.2971034821510314,0.7681,0.8421
56,0.72304,1.4109504438400269,0.001,0.89664,0.9415,0.5676,2.23288864068985,0.7728,0.8433
57,0.72532,1.4012928832626343,0.001,0.89894,0.94276,0.5858,2.132564933490753,0.784,0.8544
58,0.72456,1.3930420279693603,0.001,0.9004,0.9432,0.5613,2.300198389720917,0.7664,0.8367
59,0.7275,1.3838360844039916,0.0003162278,0.90032,0.9458,0.5427,2.375564831161499,0.7472,0.8201
60,0.72872,1.3876855201339722,0.001,0.9023,0.9452,0.5371,2.56394290599823,0.7389,0.8221
61,0.73116,1.3779568828582764,0.001,0.90368,0.94668,0.5308,2.4475226102828977,0.739,0.817
62,0.73206,1.3767814826393128,0.001,0.90348,0.94616,0.5576,2.423259619140625,0.7629,0.839
63,0.7321,1.3738241760253906,0.001,0.90436,0.94792,0.5914,2.057553094482422,0.7966,0.8641
64,0.73454,1.3719913882446289,0.0003162278,0.90534,0.947,0.5532,2.3147288412094116,0.7603,0.8337
65,0.73678,1.3631447053146362,0.001,0.90732,0.94868,0.5685,2.241330007171631,0.774,0.8453
66,0.73656,1.3656823261642457,0.001,0.9072,0.94824,0.5882,2.1265194316864013,0.7878,0.8559
67,0.73834,1.3598733381271362,0.001,0.90852,0.94956,0.546,2.4451700548171997,0.7621,0.8338
68,0.74156,1.3549024166488648,0.001,0.90686,0.94884,0.5712,2.220022134208679,0.7742,0.8441
69,0.74002,1.356044037399292,0.0003162278,0.90988,0.94936,0.5447,2.3765726397514344,0.7605,0.834
70,0.74038,1.356319492378235,0.001,0.90636,0.94856,0.5609,2.3112045269966126,0.7707,0.8467
71,0.74054,1.35153628200531,0.001,0.90886,0.94922,0.4805,2.7605803592681886,0.6961,0.78
72,0.74208,1.3507325415802003,0.001,0.90914,0.94972,0.5032,2.7914165479660036,0.7169,0.8023
73,0.74278,1.3476997731018066,0.001,0.91074,0.95194,0.5228,2.589460148334503,0.7325,0.8083
74,0.74468,1.3401506162261962,0.0003162278,0.91254,0.9517,0.5745,2.245536123943329,0.7818,0.8476
75,0.74424,1.340580486907959,0.001,0.91198,0.95282,0.5669,2.259023236846924,0.7738,0.8419
76,0.7455,1.3421672574615477,0.001,0.91144,0.95218,0.5686,2.2590660027503966,0.7776,0.851
77,0.74892,1.330510269241333,0.001,0.91428,0.95334,0.5761,2.242075616836548,0.7806,0.8516
78,0.74876,1.3323443991851807,0.001,0.91238,0.95364,0.5832,2.252643252277374,0.7795,0.85
79,0.74758,1.3307382319259644,0.0003162278,0.9133,0.9532,0.5617,2.3958019329071045,0.7657,0.8384
80,0.751,1.3267537590026854,0.001,0.91454,0.9541,0.5695,2.3495989780426028,0.7685,0.8382
81,0.81946,1.0906387459564209,1e-04,0.94838,0.97422,0.6846,1.6844837671279906,0.8573,0.9099
82,0.84726,0.9969900041389466,1e-04,0.95958,0.98044,0.6894,1.692795509815216,0.8588,0.9104
83,0.85938,0.9469098215866089,1e-04,0.9651,0.98368,0.6941,1.6764283613204956,0.8582,0.9089
84,0.86782,0.9100673746871948,1e-04,0.96852,0.98536,0.6948,1.6787574724197387,0.8589,0.9092
85,0.87192,0.8848765049743652,1e-04,0.97106,0.98748,0.6963,1.6721203407287597,0.8605,0.9111
86,0.8777,0.8612057960319519,1e-04,0.97356,0.98802,0.6933,1.6897736904144287,0.8609,0.9135
87,0.88382,0.8313329241943359,1e-04,0.97594,0.98932,0.6947,1.686858996105194,0.8643,0.9111
88,0.88748,0.8141111985206604,1e-04,0.97542,0.9892,0.6902,1.6924648341178894,0.8599,0.91
89,0.89056,0.7979089101409912,1e-04,0.97816,0.99052,0.6938,1.6827104983329773,0.8616,0.9097
90,0.89386,0.778297351474762,3.1622774e-05,0.97924,0.99072,0.6932,1.6948354860305785,0.8616,0.9127
91,0.89664,0.7624020359992981,1e-04,0.9791,0.99136,0.6986,1.660306411409378,0.8631,0.9135
92,0.89986,0.748042839641571,1e-04,0.98102,0.99164,0.6937,1.6884560869216918,0.8617,0.9115
93,0.90194,0.7320809887504578,1e-04,0.98238,0.99232,0.6893,1.7253673030853272,0.8581,0.9068
94,0.90506,0.7172969477844239,1e-04,0.98348,0.9937,0.6923,1.6961438426971436,0.8642,0.9144
95,0.90516,0.7088106951332093,1e-04,0.98382,0.99386,0.6908,1.7425735773086548,0.859,0.9102
96,0.90804,0.6929365393257141,3.1622774e-05,0.9851,0.9939,0.6907,1.717691886806488,0.8602,0.9114
97,0.9083,0.6860015244197846,1e-04,0.98522,0.9939,0.6962,1.6940759149551392,0.8607,0.9139
98,0.91118,0.6711058730697632,1e-04,0.9864,0.99486,0.6944,1.6942431101799011,0.8616,0.9136
99,0.914,0.6631317351531982,1e-04,0.98592,0.99498,0.6934,1.7179494440078735,0.8614,0.9115
100,0.91698,0.6491203474235535,1e-04,0.98698,0.99546,0.692,1.7294641838550568,0.8556,0.9095
101,0.91596,0.6441941145515442,3.1622774e-05,0.98766,0.99524,0.6913,1.7290212833404541,0.8579,0.9088
102,0.91842,0.632349108543396,1e-04,0.98826,0.99584,0.6889,1.7531572813034058,0.8554,0.9092
103,0.91984,0.6253553142738342,1e-04,0.98868,0.99582,0.6921,1.7392251748085021,0.8574,0.9069
104,0.9218,0.615372613735199,1e-04,0.98828,0.99574,0.6917,1.7496234553337098,0.8558,0.9071
105,0.92186,0.6107002471351624,1e-04,0.98844,0.99588,0.6878,1.7676989317417144,0.8553,0.9067
106,0.92302,0.6004614674758911,3.1622774e-05,0.98968,0.99628,0.6942,1.7252058542728423,0.8622,0.9103
107,0.92356,0.5930928428459168,1e-04,0.98934,0.99638,0.6897,1.76515859708786,0.8597,0.908
108,0.92778,0.5811879763221741,1e-04,0.99058,0.99642,0.6873,1.7730309148788452,0.8574,0.9065
109,0.92622,0.5793619193840027,1e-04,0.99046,0.99658,0.6914,1.7508059958934783,0.8608,0.91
110,0.92804,0.5712115274238586,1e-04,0.99064,0.99692,0.6853,1.811183227443695,0.8544,0.9053
111,0.9304,0.5615529708480835,3.1622774e-05,0.99188,0.9973,0.6873,1.7973672785282135,0.8541,0.9067
112,0.93074,0.5559982512664795,1e-04,0.99174,0.99736,0.6838,1.7939773458480834,0.8545,0.9062
113,0.9321,0.548607527217865,1e-04,0.99192,0.99732,0.6854,1.7937475059509278,0.8541,0.9057
114,0.93246,0.5445116042518616,1e-04,0.99172,0.99722,0.6864,1.8047250500202179,0.8566,0.9084
115,0.93252,0.5395550479316712,1e-04,0.99224,0.99734,0.6876,1.8081184609413148,0.8545,0.907
116,0.9341,0.5306607226848602,3.1622774e-05,0.99324,0.9978,0.6879,1.8014683153629303,0.8554,0.9055
117,0.93516,0.5267489742279052,1e-04,0.99282,0.99778,0.6901,1.7974943677902222,0.8573,0.9082
118,0.9346,0.5232801334381103,1e-04,0.99328,0.99748,0.6818,1.8392676970481872,0.8525,0.9044
119,0.93806,0.5130755751037598,1e-04,0.99336,0.99766,0.6831,1.8310293457984925,0.8521,0.9049
120,0.9394,0.5066020897483826,1e-04,0.99328,0.99806,0.6837,1.83075684466362,0.8531,0.9048
121,0.94638,0.4862322449493408,3.1622776e-06,0.99466,0.99838,0.6966,1.7626503105640412,0.859,0.9091
122,0.95026,0.47492188552856446,1e-05,0.99554,0.99858,0.6974,1.7632386036396026,0.8601,0.909
123,0.9512,0.47190401616096495,1e-05,0.99552,0.99864,0.6987,1.7545028522968291,0.861,0.9103
124,0.95368,0.4659668913269043,1e-05,0.99602,0.99882,0.699,1.7586984956264495,0.8615,0.9111
125,0.9543,0.4644237240695953,1e-05,0.99604,0.99884,0.6999,1.758709879398346,0.8612,0.9109
126,0.9546,0.4630320271682739,3.1622776e-06,0.99592,0.9989,0.6984,1.7628016255378722,0.8604,0.9107
127,0.95552,0.45905266346931456,1e-05,0.99672,0.99888,0.6991,1.7616080777168275,0.8607,0.9111
128,0.95516,0.45858760306358337,1e-05,0.99636,0.99924,0.699,1.757307081413269,0.8591,0.9115
129,0.95686,0.4566610039329529,1e-05,0.99636,0.99896,0.6986,1.7671315798282623,0.8601,0.912
130,0.9587,0.4509610265159607,1e-05,0.9963,0.99906,0.6983,1.7646190969467164,0.8621,0.9111
131,0.95584,0.4563968738460541,3.1622776e-06,0.99668,0.99902,0.6989,1.763083047580719,0.8614,0.9109
132,0.957,0.4535137518692017,1e-05,0.9962,0.999,0.7003,1.7631992317199707,0.8611,0.9118
133,0.9587,0.45055784139633176,1e-05,0.9967,0.9989,0.6984,1.7655654646396637,0.8594,0.9107
134,0.95764,0.44945927185058593,1e-05,0.99682,0.99918,0.6982,1.771158869791031,0.8599,0.9109
135,0.9577,0.44915716167449954,1e-05,0.9967,0.9991,0.701,1.7680839253902436,0.861,0.9111
136,0.95786,0.4475884575176239,3.1622776e-06,0.99708,0.99912,0.7002,1.7637876374721526,0.8611,0.9119
137,0.95846,0.44596634667396545,1e-05,0.99718,0.99896,0.699,1.7694526181697845,0.8616,0.9117
138,0.95818,0.44702916692733763,1e-05,0.99706,0.99894,0.6986,1.7770713972091674,0.8604,0.9117
139,0.95778,0.44766620719909667,1e-05,0.99668,0.99898,0.6996,1.7737062467098237,0.8609,0.9126
140,0.95922,0.4414058140563965,1e-05,0.99716,0.99918,0.6975,1.7675804946899414,0.8621,0.9118
141,0.9601,0.4408377083301544,3.1622776e-06,0.99694,0.99934,0.6992,1.7718406334400176,0.8622,0.9127
142,0.96044,0.4412740984535217,1e-05,0.9972,0.99924,0.7001,1.7692282532691956,0.8622,0.9116
143,0.96004,0.4415165648841858,1e-05,0.99682,0.9991,0.6977,1.7748207153320312,0.8609,0.9114
144,0.9605,0.43743399231910707,1e-05,0.99724,0.99922,0.6988,1.7792467154979705,0.8605,0.9114
145,0.96056,0.4378787782859802,1e-05,0.9972,0.9993,0.6979,1.7782542526245118,0.8612,0.9102
146,0.9606,0.43736113780975344,3.1622776e-06,0.99708,0.99922,0.6999,1.7806869048118592,0.8607,0.9107
147,0.96074,0.4356691657447815,1e-05,0.99682,0.99944,0.6983,1.7763139532089234,0.8614,0.9107
148,0.96154,0.4344692711353302,1e-05,0.9969,0.9994,0.6983,1.7820937587738037,0.8625,0.9108
149,0.96064,0.4358829013633728,1e-05,0.9971,0.9992,0.6977,1.778566819524765,0.8622,0.9102
150,0.962,0.43212836168289187,1e-05,0.9972,0.9992,0.6979,1.7862175743579864,0.8612,0.9102
151,0.96066,0.4330759859085083,3.1622776e-06,0.99722,0.99936,0.6966,1.7843656895637512,0.8615,0.9115
152,0.9607,0.4354901539993286,1e-05,0.99702,0.99936,0.6977,1.7847500359535218,0.8611,0.9102
153,0.96184,0.43050654035568237,1e-05,0.99754,0.9995,0.6981,1.7811730879306793,0.8616,0.912
154,0.96148,0.42917626026153566,1e-05,0.99744,0.99934,0.6964,1.789230940771103,0.8604,0.9101
155,0.96442,0.42600057240486144,1e-05,0.99728,0.99922,0.698,1.7855398959159852,0.8613,0.9126
156,0.9643,0.4261588249397278,3.1622776e-06,0.99716,0.99928,0.6972,1.7818456289291382,0.8604,0.912
157,0.96248,0.42914798751831057,1e-05,0.9967,0.99922,0.6971,1.7863208200931548,0.8607,0.9122
158,0.96234,0.42720028217315675,1e-05,0.99706,0.99924,0.698,1.7849199654579162,0.8625,0.9126
159,0.96312,0.4237494747543335,1e-05,0.99766,0.99954,0.6995,1.7859037678718568,0.8616,0.9117
160,0.96308,0.42319670406341553,1e-05,0.99744,0.99934,0.6968,1.798558137321472,0.861,0.9113
161,0.96464,0.419757264881134,5e-07,0.99742,0.9994,0.6968,1.789721241569519,0.8616,0.9113
162,0.96418,0.4220471549797058,1e-06,0.9975,0.99932,0.6976,1.790363317346573,0.8615,0.9107
163,0.96512,0.42177308347702025,1e-06,0.9976,0.9994,0.6979,1.7883180384635926,0.8617,0.9108
164,0.9647,0.4216578192424774,1e-06,0.99738,0.99932,0.697,1.7894056657791138,0.8617,0.9105
165,0.9654,0.4188979537010193,1e-06,0.99774,0.99946,0.697,1.7902377479553222,0.8617,0.9113
166,0.96526,0.4190854649162292,5e-07,0.99764,0.99932,0.6975,1.7935498306274413,0.8613,0.9108
167,0.9657,0.4195847451400757,1e-06,0.99752,0.99932,0.6981,1.7912184046268462,0.861,0.9112
168,0.9629,0.42219827271461485,1e-06,0.99732,0.99942,0.6982,1.7854005264282227,0.862,0.9107
169,0.96414,0.42201693983078004,1e-06,0.99752,0.9995,0.6977,1.7906199816703796,0.8617,0.9105
170,0.96422,0.41943362319946287,1e-06,0.99772,0.99944,0.6972,1.7910734231472016,0.8611,0.9105
171,0.96558,0.41815296174049377,5e-07,0.99776,0.9995,0.698,1.7931909921646119,0.8615,0.9104
172,0.96554,0.41922594900131227,1e-06,0.99738,0.99942,0.6972,1.7903420912265777,0.862,0.9109
173,0.96458,0.42008381160736086,1e-06,0.99788,0.99936,0.6975,1.7975571341514587,0.8609,0.9113
174,0.96518,0.41856965494155884,1e-06,0.9977,0.99946,0.6979,1.7898290733337403,0.8618,0.9114
175,0.96564,0.41838818088531493,1e-06,0.99772,0.99948,0.6982,1.7921880480289458,0.8623,0.9105
176,0.96496,0.4186435032463074,5e-07,0.99804,0.99958,0.6971,1.7892384219646453,0.8615,0.9109
177,0.96494,0.4198810478210449,1e-06,0.9977,0.99938,0.6971,1.7924838844776154,0.8623,0.9113
178,0.965,0.4200455935096741,1e-06,0.99726,0.99926,0.6984,1.7931776686668397,0.8609,0.9107
179,0.9624,0.4214572522640228,1e-06,0.99724,0.99928,0.6996,1.7850304559230805,0.8624,0.9117
180,0.9644,0.420196602973938,1e-06,0.99778,0.99948,0.6976,1.7914308769226075,0.862,0.9119
181,0.96516,0.418391513299942,5e-07,0.998,0.99958,0.6989,1.7899027217864991,0.8605,0.9113
182,0.96426,0.4189272791099548,5e-07,0.99782,0.99946,0.6983,1.790453404712677,0.8611,0.9111
183,0.96502,0.41700410480499267,5e-07,0.99818,0.9995,0.6978,1.7913267716884613,0.8618,0.9109
184,0.96556,0.41713921872138976,5e-07,0.99752,0.99936,0.6985,1.7909312382221223,0.8607,0.9117
